ID	ENGLISH	SPANISH	PORTUGUESE	NOTES	SIMPLIFIED	SEMANTIC FIELD	SENSORY CATEGORY
1886		canto del sapo masero			frog species	Animals	AUDITORY
1887		acción de despedazar comida (los loros, murcielagos); acción de cortar profundamente			cutting to pieces	Animals	VISUAL, AUDITORY
1888		acción de hervir por mucho tiempo			boiling	Food and drink	AUDITORY
1889		sonido que emite el pájaro kóntona			bird species	Animals	AUDITORY
1890		sonido producido por niños jugando en el agua o cuando hacen vibrar los labios con su bebida			children playing in the water	Basic actions and technology	AUDITORY
1891		voz del tucán kuárini			toucan species	Animals	AUDITORY
1892		sonido que emite el vampiro kuntsepitoni			vampire call	Animals	AUDITORY
1893		acción de desgranar; cosechar semillas o granos (varias a la vez; p. ej. café, trigo, achiote)			shelling, harvesting seeds	Agriculture and vegetation	VISUAL
1894		acción de caerse (p. ej. el pelo)			falling out	Motion	VISUAL
1895		acción de escupir al aire varias veces		Escupir p. ej. piripiri o ají masticado	spitting into the air	Basic actions and technology	AUDITORY
1896		sonido que emite el ave manacaracu			bird species	Animals	AUDITORY
1897		acción de centellar (p. ej. plumas brillantes, pelo del jaguar pintado, canoa con diseños en el casco que contrasten con el negro de la canoa quemada; el miriápodo tsirinkanato cuando camina)			sparkling	Sense perception	VISUAL
1898		llanto del pájaro mákoso			bird species	Animals	AUDITORY
1899		acción de romper la tela de las larvas ponta, erama, etc.			breaking the web of larvae	Basic actions and technology	VISUAL
1900		acción de cojear			limping	Motion	VISUAL
1901		acción de moverse un emponado ménkotsi			wood floor moving	The house	VISUAL
1902		acción de estirar(se) (p. ej. jebe)			stretching	Basic actions and technology	VISUAL
1903		acción de pelar (p. ej. muchos frutos)			peeling	Food and drink	VISUAL
1904		acción de apretar (p. ej. los hilos en un telar; los hombros de otra persona)			tightening	Basic actions and technology	VISUAL
1905		canto del paujil			bird species	Animals	AUDITORY
1906		acción de mover(se) o sacudir(se)			shaking	Motion	VISUAL
1907		movimiento repetido (p. ej. de la membrana que cubre la fontanela de un recién nacido, de algo dentro de una chuspa o bolsa)			repeated movement	Motion	VISUAL
1908		acción de brillar (p. ej. un cometa)			shining	Sense perception	VISUAL
1909		sonido producido al morder algo quebradizo			biting something brittle	Food and drink	AUDITORY
1910		grito del mono musmuqui cuando se le de [sic] un flechazo			monkey shot by an arrow	Warfare and hunting, Animals	AUDITORY
1911		balancearse (p. ej. una canoa mal cortada o con el peso mal distribuido)			to rock	Motion	VISUAL
1912		acción de sacar y mover la lengua rápidamente			moving tongue rapidly	The body	VISUAL
1913		acción de tragar muy rápido una masa			swallowing a mass quickly	The body, Food and drink	AUDITORY
1914		gruñidos de una manada de sajinos corriendo			peccaries running	Animals	AUDITORY
1915		acción de regar con un poco de agua, de caer muchas semillas, piedritas, etc.			water or small objects falling	Motion	AUDITORY
1916		acción de lloviznar, de caer continuamente gotitas de lluvia u otras cosas chiquitas			drizzling, small things falling	The physical world	VISUAL
1917		descripción de olas llenas de tierra en un río turbio			waves in murky river	The physical world	VISUAL
1918		acción de arrancar o sacar un pedazo de carne (p. ej. por mordedura de perro)			pulling out a piece of meat	Basic actions and technology	AUDITORY, VISUAL
1919		sonido que se produce chupando, soplando o acariciando una parte del cuerpo			sucking, caressing	Basic actions and technology	AUDITORY
1920		pellizcar fuertemente (p. ej. en los labios)			pinch	Basic actions and technology	VISUAL
1921		descripción de algo mezclándose con el agua de un río o de una quebrada (p. ej. agua muy turbia llena de tierra; barbasco al que se le sujeta debajo del agua de una quebrada)			mixing with water	The physical world	VISUAL
1922		acción de volar velozmente y en trayectoria recta; acción de dar vueltas o girar rápidamente			swift movement	Motion	VISUAL
1923		canto de la chicharra pionti			cicada species	Animals	AUDITORY
1924		acción de pelarse el cutis			skin peeling	The body	VISUAL
1925		acción de oscilar o balancearse (la carnosidad de un ave cuando camina)			oscillation	Motion	VISUAL
1926		acción de oscilar			oscillation	Motion	VISUAL
1927		totalmente oscuro (durante la noche)			dark	Sense perception	VISUAL
1928		sonido o acción de cuchichear			whispering	Speech and language	AUDITORY
1929		acción de parpadear			blinking	The body	VISUAL
1930		sonido bonito que emite el pájaro pocharanti			bird species	Animals	AUDITORY
1931		acción de echar agua u otro líquido; acción de olas grandes golpeando y entrando en una canoa, etc.			water moving	The physical world	AUDITORY
1932		canto de los paucares y oropéndolas			bird species	Animals	AUDITORY
1933		acción de salpicar (p. ej. olas entrando en una canoa)			splashing	The physical world	AUDITORY
1934		acción de echar tierra en alguien o algo; acción de salpicar (p. ej. olas pequeñas)			throwing dirt, splashing	Basic actions and technology	AUDITORY
1935		acción de soplar (una persona; p. ej. soplar la candela o en una picadura)			blowing	Basic actions and technology	AUDITORY
1936		acción de romperse (p. ej. una calabaza piarintsina); acción de chancar (p. ej. un jaguar chancando un cráneo)			breaking, crushing	Basic actions and technology	AUDITORY
1937		acción de brillas o de reflejarse en algo que brilla (el sol)			shining	Sense perception	VISUAL
1938		voz de la lechuza pómpori o poripómponi			bird species	Animals	AUDITORY
1939		acción de los loros cuando rompen su comida en pedacitos con el pico; acción de quebrarse en pedacitos			breaking into pieces	Animals	VISUAL
1940		canto del sapo apápani, poróronti			frog species	Animals	AUDITORY
1941		acción de sacudir			shaking	Motion	VISUAL
1942		canto del tordo maputi			bird species	Animals	AUDITORY
1943		acción y sonido de tronar			thunder	The physical world	AUDITORY
1944		sonido de trueno fuerte			loud thunder	The physical world	AUDITORY
1945		sonido de trueno suave o a lo lejos			thunder in the distance	The physical world	AUDITORY
1946		sonido que se produce cuando se realiza la acción de separarse la corteza de ciertos árboles del tronco, y las hojas secas de ciertas palmeras			plant parts detaching	Agriculture and vegetation	AUDITORY
1947		acción de caerse una cantidad de cositas			small things falling	Motion	AUDITORY
1948		acción de llorar a gritos			crying loudly	Emotion and values	AUDITORY
1949		acción de escalpar, quitar el cuero cabelludo; abrir o partir una palmera pijuayo (para sacar el cogollo); sacar la cáscara doble [gruesa, JMS] (p. ej. de un coco), etc.)			removing scalp or outer shell	Basic actions and technology	AUDITORY
1950		acción de pasar algo entre los dedos, o de sacar granos de una espiga apretándola con los dedos y arráncandolos			passing something between the fingers	Basic actions and technology	VISUAL
1951		acción de desgarrar algo (p. ej. el oso)			tearing apart	Basic actions and technology	VISUAL, AUDITORY
1952		acción de morder sacando un pedazo de carne (p. ej. el lagarto)			biting and pulling	Basic actions and technology	VISUAL, AUDITORY
1953		acción de herir (p. ej., mordiendo, desgarrando, recortando)			injuring	Basic actions and technology	VISUAL, AUDITORY
1954		sonido y acción de cortar, recortar con cuchillo, raspar con los dientes, cepillar, etc.			cutting	Basic actions and technology	AUDITORY
1955		acción de comer			eating	Food and drink	VISUAL, AUDITORY
1956		llanto del pájaro sosoti			bird species	Animals	AUDITORY
1957		acción de rascar(se), raspar, pasar la mano sobre algo suavemente; sobar, frotar o pasar con la mano o un trapo; arrastrarse por el suelo; acción de ir haciendo una bola de hilo			scraping, rubbing, passing hand over something, crawling on the ground	Basic actions and technology	VISUAL, AUDITORY
1958		sensación que algo le camina a uno por todo el cuerpo			sensation of something is walking over body	The body	TACTILE
1959		acción de caerse (p. ej. un árbol cortado), bajarse deslizando (p. ej. una serpiente)			moving down	Motion	AUDITORY
1960		sentir dolor como si algo estuviera atorado en el pecho			chest pain	The body	INTERNAL STATE
1961		canto del pájaro sonkivinti			bird species	Animals	AUDITORY
1962		acción de husmear			snooping	Sense perception	AUDITORY
1963		sonido de la correntada de un río			river current	The physical world	AUDITORY
1964		sonido fuerte de agua correntosa			running water	The physical world	AUDITORY
1965		sorber un líquido rápidamente			to sip	Food and drink	AUDITORY
1966		arder (p. ej. el calor del sol; una quemadera; un chupo; el estómago por estar con vinagrera)			to burn	Sense perception	TACTILE, INTERNAL STATE
1967		mirar fijamente			stare	Sense perception	VISUAL
1968		acción de jalar hilos cuidadosamente manteniendo la tensión (p. ej. en la preparación del telar)			pulling threads carefully	Basic actions and technology	VISUAL
1969		sonido y acción de comer rápidamente o tomar caldo rápidamente con una cuchara			eating quickly	Food and drink	AUDITORY, VISUAL
1970		sonido producido por niños que al estar jugando hacen mucha bulla, o por un niño que llora sin parar o a gritos			children making noise	Emotion and values	AUDITORY
1971		sonido de aves (especialmente aves de rapiña) emprendiendo vuelo rápidamente, volando velozmente, lanzándose sobre una presa u otra cosa, etc.			bird taking flight	Animals	AUDITORY
1972		acción de vomitar			vomiting	The body	AUDITORY
1973		acción de fluir, derramarse o correr (una buena cantidad de líquido)			liquid flowing	The physical world	AUDITORY
1974		sonido producido por el insecto shienti			insect species	Animals	AUDITORY
1975		acción de temblar de frío o tener escalofríos, o de sacudir algo			shivering, shaking	The body	INTERNAL STATE, VISUAL
1976		sonido que produce la hormiga sogemántaro si se la toca			ant species sound	Animals	AUDITORY
1977		sonido producido al caminar entre la hojarasca			leaf litter	Agriculture and vegetation	AUDITORY
1978		acción de quedarse inmóvil o estar en silencio absoluto			motionless, silence	Motion	VISUAL, AUDITORY
1979		canto de los grillos			cricket	Animals	AUDITORY
1980		canto del pájaro corregidor			bird species	Animals	AUDITORY
1981		representa el ejercicio de poder sobrenatural		Tradicionalmente se contaba que ciertos seres poderosos (tasorintsi), los chamanes (seripigari) y los brujos (matsikanari) tenían poder de crear, sanar a enfermos o hacerlos morir con el poder sobrenatural representado por la palabra shoo.	supernatural power	Religion and belief	?
1982		voz del pájaro trompetero en el momento en que desciende al suelo ante la presencia de alguien			bird species descending	Animals	AUDITORY
1983		acción de caerse ¡pum!			falling	Motion	AUDITORY
1984		acción de darse palmadas (por estar borracho y molesto)			slapping oneself	Basic actions and technology	AUDITORY
1985		acción de descascarar o pelar (p. ej. maní, achiote, plátano, yuca)			peeling	Food and drink	VISUAL
1986		sonido producido al hacer un chasquido			snapping	Basic actions and technology	AUDITORY
1987		sonido producido cuando se caen granos, semillas, piedras, etc. (p. ej. piedras que son arrojadas por el barranco)			many objects falling	Motion	AUDITORY
1988		acción de emprender vuelo (paujiles, pavas y pucacungas)			taking flight	Animals	AUDITORY
1989		sonido de un fuerte eructo			burp	The body	AUDITORY
1990		sonido producido por el roedor conocono			rodent species	Animals	AUDITORY
1991		acción de caminar lentamente con las piernas abiertas			walking with legs apart	Motion	VISUAL
1992		acción de caminar con las piernas arqueadas			walking with bowed legs	Motion	VISUAL
1993		acción de nadar fuerte o rápidamente			swimming strongly	Motion	AUDITORY
1994		sonido que se escucha a cierta distancia cuando alguien o algo se mete, se caye [sic] o se pone a jugar en el agua; ¡cataplum!			enter with force	Motion	AUDITORY
1995		ruido producido al tocarse o golpearse dos cosas que suenan (p. ej. juntar plantos, destapar una olla de metal, dejar caer algo en una canoa)			two things touching or hitting	Basic actions and technology	AUDITORY
1996		movimiento de una cantidad de ciertas cosas (p. ej. las colas de muchas peces, cañas en el viento)			mutiple objects moving	Motion, Quantity	VISUAL
1997		sonido de un palo que se rompe por ser pisado, un árbol que se choca con la tierra después de ser cortado, etc.			plants breaking or being hit	Agriculture and vegetation	AUDITORY
1998		acción de romper yuca quebradiza (p. ej. por estar demasiado asada)			breaking brittle manioc	Food and drink	AUDITORY
1999		acción del armadillo cavando rápidamente			armadillo digging	Animals	AUDITORY
2000		acción de golpear un techo de hojas con un palo			hitting a leaf roof	The house	AUDITORY
2001		acción de patalear, pisar muy fuerte			kicking, stomping	Basic actions and technology	AUDITORY
2002		acción de relampaguear suavemente sin truenos			lightning	The physical world	VISUAL
2003		pisadas ligeras (p. ej. de un jaguar, supuestamente las de un muerto)			light footsteps	Motion	AUDITORY
2004		acción de machucar con piedra			crushing with a stone	Basic actions and technology	AUDITORY
2005		acción de moverse (p. ej. el emponado de la casa cuando alguien camina en ella; la tierra durante un temblor)			moving	Motion	AUDITORY
2006		acción de sacudirse o temblar fuertemente en el momento de morirse			shaking at the moment of dying	The body	VISUAL
2007		acción de dar vueltas (p. ej. la cabeza a causa de mareos; un hombre bailando al estilo tradicional); acción de retorcer algo y darlo varias vueltas			turning around, twisting	Motion	VISUAL
2008		sonido o acción de caminar rápidamente, pisar muy fuerte, ir caminando o corriendo; acción de luchar cuerpo a cuerpo			going on feet, fighting hand-to-hand	Motion	AUDITORY, VISUAL
2009		voz del pájaro chicua tsuvani			bird species	Animals	AUDITORY
2010		acción y sonido de estornudar varias veces			sneeze	The body	AUDITORY
2011		acción de remover (semillas, granos)			removing	Agriculture and vegetation	VISUAL, AUDITORY
2012		acción de escupir			spitting	The body	AUDITORY
2013		acción y sonido de toser			cough	The body	AUDITORY
2014		acción violenta y brusa (generalmente repentina); moverse bruscamente			abruptly	Motion	VISUAL
2015		canto del pájaro togúoni			bird species	Animals	AUDITORY
2016		Mayormente indica acciones repetidas que se realizan rápidamente o suavamente pero con más calma o no tan bruscamente como las que indica "togn"		algunos ejemplos de tales acciones son: revolcarse de un lado al otro; beber algo rápidamente; jalar el pelo de alguien; golpear(se) con el puño o pegar con un palo; reventarse maíz cancha; sacudirse el pie.	quick repeated actions	OTHER	VISUAL, AUDITORY
